"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.2544276815088,0.129802989568024,-1.96010648410732,0.0500685383032992
"groupnegative",-0.343561009891743,0.0464644328000573,-7.39406443139276,1.80185697782999e-13
"grouppositive",0.331118147860782,0.0830177079505968,3.98852432854239,6.79482700607872e-05
"groupsuggestive negative",-0.0228831364675006,0.0576757026420132,-0.396755226538525,0.691573980503787
"age",0.00352958176873662,0.00223479276453889,1.57937766075813,0.114346623840818
"PC1",-0.0549044801451402,0.618108508884043,-0.0888266046430373,0.929225178373051
"PC2",1.20400676437892,0.594522053803141,2.02516753865886,0.0429316258610381
"PC3",0.51193432833123,1.0199646655462,0.50191378743212,0.615762114082225
"PC4",0.352349256763101,1.69336232594323,0.208076707131675,0.83518209204034
"PC5",1.82441078950986,1.6161789123268,1.12884209513863,0.25904764002642
"PC6",-7.62093204799807,4.92500540947116,-1.54739567053925,0.121865078932718
"PC7",-6.74224360490389,3.67802778260327,-1.83311383258008,0.0668769239642284
"PC8",0.606438984705982,3.21287061840951,0.188753005250548,0.850298173220164
"PC9",2.50965695765914,2.14376404543354,1.17067779124526,0.241814013443322
"PC10",3.29595580674453,5.72710180576523,0.575501522153252,0.564991942689689
